experimental_condition,silvering_stage,swimming_speed_m_s,n_mo2,n_cot,n_trials
FW18,Y1,0.1,5,5,5
FW18,Y1,0.4,2,2,2
FW18,Y1,0.5,2,2,2
FW18,Y1,0.6,2,2,2
FW18,Y1,0.7,2,2,2
FW18,Y1,0.8,1,1,1
FW18,Y1,0.9,1,1,1
FW18,Y1,1.0,1,1,1
FW18,Y2,0.1,5,5,5
FW18,Y2,0.4,2,2,2
FW18,Y2,0.5,1,1,1
FW18,Y2,0.6,1,1,1
FW18,Y2,0.7,1,1,1
FW18,Y2,0.8,1,1,1
FW18,Y2,0.9,1,1,1
FW25,Y1,0.1,5,5,5
FW25,Y1,0.4,5,5,5
FW25,Y1,0.5,4,4,4
FW25,Y1,0.6,1,1,1
FW25,Y2,0.1,4,4,4
FW25,Y2,0.4,4,4,4
FW25,Y2,0.5,4,4,4
FW25,Y2,0.6,3,3,3
FW25,Y2,0.7,2,2,2
FW25,Y2,0.8,2,2,2
FW25,Y2,0.9,2,2,2
FW25,Y2,1.0,2,2,2
FW25,Y2,1.1,1,1,1
FW25,Y2,1.2,1,1,1
FW25,Y2,1.3,1,1,1
SW18,S1,0.1,8,8,8
SW18,S1,0.4,8,8,8
SW18,S1,0.5,8,8,8
SW18,S1,0.6,8,8,8
SW18,S1,0.7,5,5,5
SW18,S1,0.8,4,4,4
SW18,S1,0.9,4,4,4
SW18,S1,1.0,1,1,1
SW18,Y2,0.1,6,6,6
SW18,Y2,0.4,6,6,6
SW18,Y2,0.5,6,6,6
SW18,Y2,0.6,6,6,6
SW18,Y2,0.7,3,3,3
SW18,Y2,0.8,3,3,3
SW18,Y2,0.9,1,1,1
